timestamp;match;market;designation;points;old_odd;new_odd;movement_pct
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,moneyline,home,,-113,-123,3.82;;;;;;;
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,moneyline,away,,104,113,4.41;;;;;;;
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,spread,home,-1.5,180,170,3.57;;;;;;;
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,spread,away,1.5,-203,-190,2.26;;;;;;;
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,total,over,8.5,-112,-110,0.86;;;;;;;
2026-06-14 17:13:10,New York Mets vs Atlanta Braves,total,under,8.5,-100,-102,0.98;;;;;;;
2026-06-14 17:13:10,Milwaukee Brewers vs Philadelphia Phillies,moneyline,home,,105,114,4.39;;;;;;;
2026-06-14 17:13:10,Milwaukee Brewers vs Philadelphia Phillies,moneyline,away,,-114,-124,3.77;;;;;;;
2026-06-14 17:13:10,Milwaukee Brewers vs Philadelphia Phillies,spread,home,1.5,-172,-164,1.79;;;;;;;
2026-06-14 17:13:10,Milwaukee Brewers vs Philadelphia Phillies,spread,away,-1.5,155,147,3.14;;;;;;;
2026-06-14 17:13:10,Minnesota Twins vs St. Louis Cardinals,moneyline,away,,-101,-102,0.49;;;;;;;
2026-06-14 17:13:10,Minnesota Twins vs St. Louis Cardinals,spread,home,-1.5,186,185,0.35;;;;;;;
2026-06-14 17:13:10,Minnesota Twins vs St. Louis Cardinals,spread,away,1.5,-210,-209,0.15;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,moneyline,home,,-174,-187,2.54;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,moneyline,away,,159,171,4.63;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,spread,home,-1.5,104,-106,4.74;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,spread,away,1.5,-115,-104,4.92;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,total,over,14.0,-104,-106,0.92;;;;;;;
2026-06-14 17:13:10,Athletics vs Colorado Rockies,total,under,14.0,-108,-106,0.91;;;;;;;
2026-06-14 17:13:10,San Francisco Giants vs Chicago Cubs,spread,home,-1.5,158,159,0.39;;;;;;;
2026-06-14 17:13:10,San Francisco Giants vs Chicago Cubs,spread,away,1.5,-177,-178,0.2;;;;;;;
2026-06-14 17:13:10,San Francisco Giants vs Chicago Cubs,total,over,8.0,-107,-102,2.37;;;;;;;
2026-06-14 17:13:10,San Francisco Giants vs Chicago Cubs,total,under,8.0,-105,-110,2.22;;;;;;;
2026-06-14 17:13:10,Washington Nationals vs Seattle Mariners,moneyline,home,,122,119,1.35;;;;;;;
2026-06-14 17:13:10,Washington Nationals vs Seattle Mariners,moneyline,away,,-132,-129,1.0;;;;;;;
2026-06-14 17:13:10,Washington Nationals vs Seattle Mariners,spread,home,1.5,-128,-130,0.67;;;;;;;
2026-06-14 17:13:10,Washington Nationals vs Seattle Mariners,spread,away,-1.5,116,118,0.93;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,moneyline,home,,-130,-134,1.3;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,moneyline,away,,120,124,1.82;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,spread,home,-1.5,151,147,1.59;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,spread,away,1.5,-169,-164,1.13;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,total,over,10.0,-102,-114,5.21;;;;;;;
2026-06-14 17:13:11,Baltimore Orioles vs San Diego Padres,total,under,10.0,-111,102,6.27;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,moneyline,home,,-115,-117,0.8;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,moneyline,away,,106,108,0.97;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,spread,home,-1.5,173,171,0.73;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,spread,away,1.5,-194,-192,0.35;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,total,over,8.5,-116,-112,1.65;;;;;;;
2026-06-14 17:13:11,Kansas City Royals vs Houston Astros,total,under,8.5,103,-100,1.48;;;;;;;
2026-06-14 17:13:11,Boston Red Sox vs Texas Rangers,spread,away,1.5,-204,-203,0.16;;;;;;;
2026-06-14 17:13:11,Toronto Blue Jays vs New York Yankees,moneyline,home,,112,117,2.36;;;;;;;
2026-06-14 17:13:11,Toronto Blue Jays vs New York Yankees,moneyline,away,,-121,-126,1.8;;;;;;;
2026-06-14 17:13:11,Toronto Blue Jays vs New York Yankees,spread,home,1.5,-151,-147,1.08;;;;;;;
2026-06-14 17:13:11,Toronto Blue Jays vs New York Yankees,spread,away,-1.5,136,132,1.69;;;;;;;
2026-06-14 17:13:11,Pittsburgh Pirates vs Miami Marlins,moneyline,home,,-152,-149,0.8;;;;;;;
2026-06-14 17:13:11,Pittsburgh Pirates vs Miami Marlins,moneyline,away,,139,137,0.84;;;;;;;
2026-06-14 17:13:11,Pittsburgh Pirates vs Miami Marlins,total,over,7.0,-107,-119,4.87;;;;;;;
